,title,imdb_rating,US_box_office,runtime
44,Pumpkinhead,6.2,4.39,86
45,The Bride of Frankenstein,7.8,4.36,75
46,The Pit and the Pendulum,7.0,4.36,80
47,Dark Angel,6.1,4.35,91
48,Lisa,5.9,4.35,95
49,Mortuary,5.1,4.32,93
0,The Omen,7.5,4.27,111
1,Brainscan,6.0,4.26,96
2,Popcorn,5.9,4.21,91
3,Twin Peaks: Fire Walk with Me,7.2,4.16,134
4,Godzilla 1985,6.1,4.12,87
5,Black Christmas,7.1,4.05,98
6,What Ever Happened to Baby Jane?,8.0,4.05,134
7,Idle Hands,6.2,4.00,92
8,House of Dark Shadows,6.3,4.00,97
9,Cat People,7.2,4.00,73
10,Blood Feast,5.0,4.00,67
11,Ingagi,4.3,4.00,85
12,P2,5.9,3.99,98
13,The Phantom of the Opera,5.5,3.95,93
14,Dr. Jekyll and Mr. Hyde,6.8,3.92,113
15,My Demon Lover,4.6,3.92,90
16,Morgan,5.8,3.91,92
17,Warlock: The Armageddon,5.4,3.90,98
18,Damien: Omen II,6.2,3.88,107
19,Critters 2: The Main Course,5.5,3.81,86
20,Curse of Chucky,5.6,3.80,97
21,The Monster Squad,6.9,3.77,79
22,Friend Request,5.2,3.76,92
23,The Keep,5.7,3.76,96
24,The Phantom of the Opera,7.5,3.75,93
25,High Tension,6.7,3.68,91
26,Scouts Guide to the Zombie Apocalypse,6.3,3.64,93
27,Bug,5.2,3.60,99
28,The Bride,5.4,3.60,118
29,Phoenix Forgotten,5.3,3.60,87
