title,original_language,release_date,popularity,vote_count,vote_average,budget,genre_names,collection_name,year_release
Violated Angels,ja,1967-03-01,2.989,30,6.2,0.0,Drama,,1967
Antisocial 2,en,2015-07-30,2.989,29,5.7,0.0,Horror,Antisocial Collection,2015
Smothered,en,2016-03-29,2.988,11,3.7,0.0,Comedy,,2016
The Beckoning,es,2009-02-07,2.987,43,5.9,1700000.0,Mystery,,2009
Secrets of the Clown,en,2007-09-27,2.987,6,3.2,140000.0,Horror,,2007
Gothic & Lolita Psycho,ja,2010-09-04,2.987,24,4.9,0.0,Action,,2010
Zombie Nightmare,en,1987-10-13,2.986,50,3.5,180000.0,Horror,,1987
Gravy,en,2015-10-02,2.986,42,5.8,0.0,Comedy,,2015
Heatstroke,en,2008-05-31,2.985,18,2.8,0.0,Action,,2008
All Girls Weekend,en,2016-07-12,2.985,37,3.3,1000000.0,Horror,,2016
The Screaming Skull,en,1958-01-01,2.984,43,3.8,0.0,Thriller,,1958
Apartment Zero,en,1989-09-02,2.983,38,6.7,4000000.0,Drama,,1989
Army of the Damned,en,2013-11-07,2.983,11,4.3,0.0,Horror,,2013
Slaughter of the Innocents,en,1993-01-01,2.982,15,5.8,0.0,Action,,1993
The Manor,en,2018-05-15,2.981,6,4.8,0.0,Horror,,2018
Amityville Island,en,2020-02-21,2.98,7,3.3,0.0,Horror,,2020
The Black Waters of Echo's Pond,en,2009-01-01,2.979,37,4.5,0.0,Thriller,,2009
Haunting of the Innocent,en,2014-02-01,2.979,12,3.4,0.0,Thriller,,2014
The Fan,de,1982-06-04,2.977,40,6.8,0.0,Drama,,1982
3 Wicked Witches,en,2014-01-01,2.977,6,5.2,1000000.0,Comedy,,2014
Hermelinda Linda,es,1984-07-21,2.977,54,6.8,0.0,Action,,1984
Arang,ko,2006-06-28,2.976,33,5.9,0.0,Horror,,2006
Invocation of My Demon Brother,en,1969-10-10,2.976,53,5.7,0.0,Horror,The Magick Lantern Cycle,1969
Twice Dead,en,1988-11-18,2.976,16,5.5,0.0,Horror,,1988
Madison County,en,2011-10-11,2.976,38,4.2,70000.0,Mystery,,2011
Shook,en,2021-02-18,2.976,23,5.4,0.0,Horror,,2021
Deep Evil,en,2004-06-25,2.975,19,4.4,1500000.0,Science Fiction,,2004
I Saw What You Did,en,1965-07-21,2.975,48,6.3,0.0,Mystery,,1965
The Family,en,2011-03-10,2.975,11,4.1,200000.0,Thriller,,2011
Make Me Shudder,th,2013-10-03,2.975,18,6.0,0.0,Comedy,Make Me Shudder,2013
Alien Vs. Zombies,en,2017-05-03,2.975,3,3.7,0.0,Adventure,,2017
The Witches Hammer,en,2006-05-22,2.974,7,1.4,0.0,Science Fiction,,2006
The Horrible Dr. Hichcock,en,1962-01-01,2.974,45,6.2,0.0,Horror,,1962
Document of the Dead,en,1981-01-19,2.974,24,6.8,33000.0,Documentary,,1981
Jekyll & Hyde,en,1990-01-06,2.973,22,5.6,0.0,Thriller,,1990
Vampire Island,ja,2009-10-09,2.973,18,5.4,0.0,Horror,,2009
Vampire Boys 2: The New Brood,en,2013-01-29,2.972,21,2.9,20000.0,Horror,Vampire Boys Collection,2013
